,399005,399005
count,519.0,323.0
mean,0.0005821197657451824,-4.627838947139515e-06
std,0.022356543874374493,0.012625848422918673
min,-0.08785599295352854,-0.07647626014872304
25%,-0.009014708813279782,-0.005155491726272134
50%,0.0032731233253293548,0.0001882126205881053
75%,0.012469556557558263,0.006000034575860906
max,0.06607809491398038,0.0415971613190914
