,000001,000001
count,519.0,323.0
mean,0.0006312922852929583,0.00027250741127991243
std,0.01993677365317045,0.009401058316958638
min,-0.08872905609190808,-0.06621290516763756
25%,-0.006299814489065414,-0.0036812150077244147
50%,0.0016052211870945033,0.0006786692608256363
75%,0.009643725316124122,0.00437511504483789
max,0.05603612026848458,0.04174459955578471
