,399006,399006
count,519.0,323.0
mean,0.0010048610637745433,-0.0006194890263153025
std,0.02630044540030896,0.015680437577074626
min,-0.09331926134605548,-0.07860905359454269
25%,-0.011863482873220752,-0.007255159128170585
50%,0.0029721620782818983,-0.0006876547782612188
75%,0.015876119084535456,0.00699451648431519
max,0.06913972645458477,0.05401292586493131
