,000016,000016
count,519.0,323.0
mean,0.0005285746599508515,0.0006254677406132491
std,0.020973847342448004,0.008661623269623806
min,-0.0985226638395416,-0.05476470179319107
25%,-0.007671639944174027,-0.0037745744397538208
50%,0.0004733976891922984,0.0002023729309429264
75%,0.010250361519866334,0.004485425447426078
max,0.0754698299879786,0.034968458513044934
