,399001,399001
count,519.0,323.0
mean,0.00047278122674003796,8.798034738870263e-06
std,0.02209410864565296,0.01267825809916666
min,-0.08603489244603911,-0.07623016059119044
25%,-0.00929880200470737,-0.004937020387409811
50%,0.002071013782109213,0.00035838581450709216
75%,0.012443173276770051,0.00593383735151707
max,0.06254188339801538,0.04656765351639905
