,000300,000300
count,519.0,323.0
mean,0.0005684980477017371,0.00044101908837949715
std,0.020361790828460853,0.009116455265950979
min,-0.09154437253073908,-0.06332257875304641
25%,-0.007070636361044314,-0.00388451773470911
50%,0.000879494679418838,0.0007212298174577384
75%,0.010475768965335475,0.004489407630658717
max,0.06498873052235105,0.04033967095917385
