,000905,000905
count,519.0,323.0
mean,0.0008889712410103648,1.7286361842198836e-05
std,0.02315553425779829,0.013429295051547854
min,-0.08926334661060181,-0.08268937412781599
25%,-0.007599921905162154,-0.004912439979267515
50%,0.004128637681521129,0.0006855498909465308
75%,0.013355028892511136,0.006004464461053634
max,0.0639264765456731,0.04980551481455056
